Device ID,Facility,Clinical Area,Manufacturer,Model,Year Placed in Service,Approx. Age (Years),Network Status,Integration Status,Support Status,Lifecycle Status,Maintenance Status,Preliminary Risk Tier,Notes
HP-0005,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0017,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Limited,Aging,Current,Moderate,
HP-0021,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-100,2011,15,Non-connected,"Capable, not deployed",Limited,End-of-life,Current,High,
HP-0032,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0033,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0034,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0041,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0046,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-400,2023,3,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0085,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-100,2011,15,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Limited,High,
HP-0090,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0091,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-100,2009,17,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Limited,High,
HP-0117,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0161,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Limited,Aging,Current,Moderate,
HP-0165,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0167,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2022,4,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0171,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2016,10,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0174,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0177,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0185,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0198,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0204,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Connected, not integrated",Limited,Current,Current,Moderate,
HP-0231,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0235,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2019,7,Network-connected,"Connected, not integrated",Current,Aging,Current,Lower,
HP-0242,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Connected, not integrated",Current,Aging,Current,Lower,
HP-0246,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0296,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0304,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0305,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Connected, not integrated",Limited,Aging,Limited,Moderate,
HP-0388,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0409,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0426,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-100,2011,15,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Current,High,
HP-0456,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected","Connected, not integrated",Current,Current,Current,Lower,
HP-0460,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2015,11,"Network-capable, not connected","Capable, not deployed",Limited,Aging,Current,Moderate,
HP-0461,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0464,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0467,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0473,Heartland Regional Medical Center,ICU,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0478,Heartland Regional Medical Center,ICU,Heartland Medical Technologies,HI-200,2016,10,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0004,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2014,12,Network-connected,Integrated,Limited,Aging,Current,High,
HP-0007,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0023,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2018,8,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0030,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0037,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0043,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0054,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Capable, not deployed",Limited,Current,Current,Moderate,
HP-0056,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0057,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,Network-connected,Integrated,Limited,Aging,Limited,High,
HP-0068,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Unsupported,End-of-life,Limited,High,
HP-0069,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0076,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0079,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0080,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0082,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0084,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0099,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,"Network-capable, not connected",Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0100,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2009,17,Non-connected,Non-integrated,Unsupported,End-of-life,Limited,High,
HP-0104,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2011,15,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Current,High,
HP-0107,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0116,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0120,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0125,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2009,17,"Network-capable, not connected",Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0126,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,Network-connected,Integrated,Current,Current,Current,Moderate,
HP-0127,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected","Capable, not deployed",Current,Current,Current,Lower,
HP-0139,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0145,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0147,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0150,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Limited,End-of-life,Limited,High,
HP-0158,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,"Network-capable, not connected",Non-integrated,Limited,End-of-life,Limited,High,
HP-0166,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0179,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0183,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,"Network-capable, not connected","Connected, not integrated",Current,Aging,Current,Lower,
HP-0186,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0195,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2014,12,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0200,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2011,15,Non-connected,Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0215,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2014,12,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0232,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2009,17,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0234,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,Non-connected,"Capable, not deployed",Limited,End-of-life,Current,High,
HP-0236,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0244,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0245,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0261,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Capable, not deployed",Limited,Current,Current,Moderate,
HP-0267,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2011,15,Non-connected,"Capable, not deployed",Limited,End-of-life,Limited,High,
HP-0278,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0280,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0281,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0283,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected",Integrated,Current,Aging,Current,Moderate,
HP-0286,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0287,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2012,14,Non-connected,"Capable, not deployed",Unsupported,End-of-support,Limited,High,
HP-0288,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,"Connected, not integrated",Current,Aging,Current,Lower,
HP-0294,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2009,17,"Network-capable, not connected","Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0295,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0306,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2013,13,"Network-capable, not connected",Non-integrated,Limited,End-of-support,Limited,High,
HP-0309,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0322,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected","Capable, not deployed",Current,Current,Current,Lower,
HP-0323,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Capable, not deployed",Limited,Current,Current,Moderate,
HP-0326,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2011,15,Non-connected,"Capable, not deployed",Limited,End-of-life,Current,High,
HP-0327,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected",Integrated,Current,Current,Current,Lower,
HP-0332,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0361,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2014,12,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0362,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,"Network-capable, not connected","Capable, not deployed",Limited,Aging,Current,Moderate,
HP-0376,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0380,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0384,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2010,16,Non-connected,Non-integrated,Limited,End-of-life,Limited,High,
HP-0391,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,Network-connected,Integrated,Limited,Current,Limited,Moderate,
HP-0392,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,"Network-capable, not connected",Integrated,Current,Aging,Current,Moderate,
HP-0393,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0396,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2020,6,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0399,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0406,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0407,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2009,17,Non-connected,Non-integrated,Limited,End-of-life,Limited,High,
HP-0411,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0417,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0435,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0458,Heartland Regional Medical Center,Medical/Surgical,Apex Clinical Devices,HI-300,2019,7,Network-connected,"Connected, not integrated",Current,Aging,Current,Lower,
HP-0463,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-100,2012,14,"Network-capable, not connected","Capable, not deployed",Limited,End-of-support,Limited,High,
HP-0466,Heartland Regional Medical Center,Medical/Surgical,Heartland Medical Technologies,HI-200,2017,9,Network-connected,Integrated,Current,Current,Current,Moderate,
HP-0018,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-100,2009,17,Non-connected,Non-integrated,Limited,End-of-life,Limited,High,
HP-0020,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0035,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-100,2013,13,"Network-capable, not connected","Capable, not deployed",Unsupported,End-of-support,Expired,High,
HP-0042,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2017,9,Network-connected,Integrated,Current,Current,Current,Moderate,
HP-0045,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2015,11,"Network-capable, not connected","Capable, not deployed",Current,Aging,Current,Lower,
HP-0064,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0070,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0071,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0072,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0075,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-100,2009,17,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Limited,High,
HP-0078,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0122,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0157,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0162,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2014,12,"Network-capable, not connected","Connected, not integrated",Current,Aging,Current,Lower,
HP-0168,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-100,2012,14,Non-connected,"Capable, not deployed",Unsupported,End-of-support,Expired,High,
HP-0169,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected","Connected, not integrated",Current,Current,Current,Lower,
HP-0175,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0209,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected","Connected, not integrated",Current,Current,Current,Lower,
HP-0210,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0229,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0260,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0279,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0293,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0303,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-100,2009,17,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0307,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-100,2009,17,"Network-capable, not connected",Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0311,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0321,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Capable, not deployed",Limited,Aging,Current,Moderate,
HP-0337,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0338,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-100,2010,16,"Network-capable, not connected","Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0345,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0351,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0354,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0364,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2020,6,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0374,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected","Connected, not integrated",Limited,Current,Current,Lower,
HP-0418,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0419,Heartland Regional Medical Center,Oncology,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Capable, not deployed",Limited,Current,Current,Moderate,
HP-0440,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0474,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2021,5,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0476,Heartland Regional Medical Center,Oncology,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0014,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-100,2013,13,Non-connected,"Capable, not deployed",Limited,End-of-support,Current,High,
HP-0015,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0026,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Connected, not integrated",Current,Aging,Current,Lower,
HP-0027,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected","Connected, not integrated",Limited,Aging,Limited,Moderate,
HP-0028,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-100,2010,16,Non-connected,"Capable, not deployed",Limited,End-of-life,Limited,High,
HP-0036,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0062,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Connected, not integrated",Current,Aging,Current,Moderate,
HP-0077,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0096,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0118,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0130,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0151,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0178,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0184,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-100,2013,13,"Network-capable, not connected","Capable, not deployed",Limited,End-of-support,Current,High,
HP-0189,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0208,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0249,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0299,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected","Capable, not deployed",Limited,Current,Current,Moderate,
HP-0318,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected","Connected, not integrated",Current,Current,Current,Lower,
HP-0325,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0333,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2017,9,"Network-capable, not connected","Capable, not deployed",Limited,Current,Current,Moderate,
HP-0346,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Limited,Aging,Current,Moderate,
HP-0360,Heartland Regional Medical Center,Operating Room,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0366,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-200,2018,8,"Network-capable, not connected","Capable, not deployed",Current,Current,Current,Lower,
HP-0367,Heartland Regional Medical Center,Operating Room,Heartland Medical Technologies,HI-100,2010,16,"Network-capable, not connected","Capable, not deployed",Limited,End-of-life,Current,High,
